侵|1025|encroach, invade, raid, trespass, violate|1025|シン|おか.す|9|人: person<br>彑: pig's head radical variant (no. 58)<br>冖: wa-shaped crown radical (no. 14)<br>又: or again; furthermore; on the other hand|encroach|1231
侶|2419|companion, follower|9999|リョ、ロ|とも|9|人: person<br>呂: spine; backbone|partner|1025
便|729|convenience, facility, excrement, feces, letter, chance|729|ベン、ビン|たよ.り|9|人: person<br>更: grow late; night watch; sit up late; of course; renew; renovate; again; more and more; further|convenience|1066
係|232|person in charge, connection, duty, concern oneself|232|ケイ|かか.る、かかり、-がかり、かか.わる|9|人: person<br>系: lineage; system|person in charge|1493
促|998|stimulate, urge, press, demand, incite|998|ソク|うなが.す|9|人: person<br>足: leg; foot; be sufficient; counter for pairs of footwear|stimulate|1373
俄|2420|sudden, abrupt, improvised|9999|ガ|にわか|9|人: person<br>我: ego; I; selfish; our; oneself|abrupt|2247
俊|1007|sagacious, genius, excellence|1007|シュン||9|人: person<br>夋: None|sagacious|1089
俗|1606|vulgar, customs, manners, worldliness, mundane things|1610|ゾク||9|人: person<br>谷: valley|vulgar|1042
保|146|protect, guarantee, keep, preserve, sustain, support|146|ホ、ホウ|たも.つ|9|人: person<br>呆: be amazed; disgusted; shocked|protect|1072
信|208|faith, truth, fidelity, trust|208|シン||9|人: person<br>言: say|faith|1043
修|603|discipline, conduct oneself well, study, master|603|シュウ、シュ|おさ.める、おさ.まる|10|攸: relaxed; at ease; place<br>彡: three; hair ornament; short hair or fur radical (no. 59)|discipline|1858
俳|1137|haiku, actor|1137|ハイ||10|人: person<br>非: un-; mistake; negative; injustice; non-|haiku|1761
俵|1480|bag, bale, sack, counter for bags|1481|ヒョウ|たわら|10|人: person<br>表: surface; table; chart; diagram|bag|1667
俸|1828|stipend, salary|1834|ホウ||10|人: person<br>奉: observance; offer; present; dedicate|stipend|1696
俺|1934|I, myself|1946|エン|おれ、われ|10|人: person<br>奄: cover; suffocate; obstruct|myself|1091
倅|2421|son, my son|9999|サイ、ソツ、ソチ|せがれ|10|人: person<br>卒: graduate; soldier; private; die|my son|2259
倉|1114|godown, warehouse, storehouse, cellar, treasury|1114|ソウ|くら|10|人: person<br>口: mouth|godown|1758
個|451|individual, counter for articles|451|コ、カ||10|人: person<br>固: harden; set; clot; curdle|individual|1047
倍|714|double, twice, times, fold|714|バイ||10|人: person<br>立: stand up; rise; set up; erect<br>口: mouth|double|1067
倒|791|overthrow, fall, collapse, drop, break down|791|トウ|たお.れる、-だお.れ、たお.す、さかさま、さかさ、さかしま|10|人: person<br>到: arrival; proceed; reach; attain; result in|overthrow|1055
候|510|climate, season, weather, wait for, expect|510|コウ|そうろう|10|人: person<br>丨: number one; line; rod radical (no. 2)<br>矢: dart; arrow|climate|1769
借|932|borrow, rent|932|シャク|か.りる|10|人: person<br>昔: once upon a time; antiquity; old times|borrow|1270
倣|2366|emulate, imitate|2454|ホウ|なら.う|10|人: person<br>放: set free; release; fire; shoot; emit; banish; liberate|emulate|1053
値|518|price, cost, value|518|チ|ね、あたい|10|人: person<br>直: straightaway; honesty; frankness; fix; repair|price|1052
倦|2422|lose interest in, tire of|9999|ケン|あき.る、あぐ.む、あぐ.ねる、う.む、つか.れる|11|人: person<br>巻: scroll; volume; book; part; roll up; wind up; tie; coil; counter for texts (or book scrolls)|fed up|2246
倫|1321|ethics, companion|1322|リン||10|人: person<br>侖: think; be methodical|ethics|1962
倭|2077|Yamato, ancient Japan|2098|ワ、イ|やまと、したが.う|10|人: person<br>委: committee; entrust to; leave to; devote; discard|Yamato|2244
倶|1836|both|1842|グ、ク|とも.に|10|人: person<br>具: tool; utensil; means; possess; ingredients; counter for armor, suits, sets of furniture|mate|2254
倹|2389|frugal, economy, thrifty|2479|ケン|つま.しい、つづまやか|10|人: person<br>僉: all|frugal|1804
偉|1635|admirable, greatness, remarkable, conceited, famous, excellent|1639|イ|えら.い|12|人: person<br>韋: tanned leather radical (no. 178)|admirable|1772
偏|1339|partial, side, left-side radical, inclining, biased|1340|ヘン|かたよ.る|11|人: person<br>扁: level; small|partial|1964
做|2423|make|9999|サ、サク、ソ|な.す、つく.る|11|人: person<br>故: happenstance; especially; intentionally; reason; cause; circumstances; the late; therefore; consequently|make do|2260
停|733|halt, stopping|733|テイ|と.める、と.まる|11|人: person<br>亭: pavilion; restaurant; mansion; arbor; cottage; vaudeville; music hall; stage name|halt|1051
健|572|healthy, health, strength, persistence|572|ケン|すこ.やか|11|人: person<br>建: build|healthy|1048
偲|2293|recollect, remember|2350|サイ、シ|しの.ぶ|11|人: person<br>思: think|memorial|2256
側|216|side, lean, oppose, regret|216|ソク|かわ、がわ、そば|11|人: person<br>則: rule; follow; based on; model after|side|1049
偵|1850|spy|1857|テイ||11|人: person<br>貞: upright; chastity; constancy; righteousness|spy|1056
偶|1598|accidentally, even number, couple, man & wife, same kind|1602|グウ|たま|11|人: person<br>禺: long-tailed monkey|accidentally|2105
偽|1171|falsehood, lie, deceive, pretend, counterfeit, forgery|1171|ギ、カ|いつわ.る、にせ、いつわ.り|11|人: person<br>為: do; change; make; benefit; welfare; be of use; reach to; try; practice; cost; serve as; good; advantage; as a result of|falsehood|2068
傍|1656|bystander, side, besides, while, nearby, third person|1660|ボウ|かたわ.ら、わき、おか-、はた、そば|12|人: person<br>旁: RHS of character; at same time|bystander|1090
傑|1915|greatness, excellence|1926|ケツ|すぐ.れる|13|人: person<br>桀: measuring box|greatness|1074
傘|1690|umbrella|1694|サン|かさ|12|人: person<br>从: two people<br>从: two people<br>十: ten|umbrella|1103
備|356|equip, provision, preparation|356|ビ|そな.える、そな.わる、つぶさ.に|12|人: person<br>艸: grass; plants; grass radical (no. 140)<br>厂: wild goose; trailing cliff radical (no. 27)<br>用: utilize; business; service; use; employ|equip|1267
催|536|sponsor, hold (a meeting), give (a dinner)|536|サイ|もよう.す、もよお.す|13|人: person<br>崔: cliff; bluff; precipice|sponsor|1062
傲|2424|be proud|9999|ゴウ|おご.る、あなど.る|13|人: person<br>敖: play; be proud||1054
債|728|bond, loan, debt|728|サイ||13|人: person<br>責: blame; condemn; censure|bond|1664
傷|845|wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point|845|ショウ|きず、いた.む、いた.める|13|人: person<br>昜: open; sun|wound|1071
傾|938|lean, incline, tilt, trend, wane, sink, ruin, bias|938|ケイ|かたむ.く、かたむ.ける、かたぶ.く、かた.げる、かし.げる|13|人: person<br>頃: time; about; toward|lean|1086
僅|2425|a wee bit|9999|キン、ゴン|わず.か|12|人: person<br>艸: grass; plants; grass radical (no. 140)<br>三: three|trifle|1699
働|417|work, (kokuji)|417|ドウ|はたら.く|13|人: person<br>動: move; motion; change; confusion; shift; shake|work|1809
像|856|statue, picture, image, figure, portrait|856|ゾウ||14|人: person<br>象: elephant; pattern after; imitate; image; shape; sign (of the times)|statue|2131
僑|2026|temporary home|2044|キョウ||14|人: person<br>喬: high; boasting|emigrant|2253
僕|1236|me, I (male), servant, manservant|1236|ボク|しもべ|14|人: person<br>菐: None|me|1933
僚|709|colleague, official, companion|709|リョウ||14|人: person<br>大: large; big<br>日: day; sun; Japan; counter for days<br>小: little; small|colleague|1842
僧|1720|Buddhist priest, monk|1724|ソウ||13|人: person<br>曽: formerly; once; before; ever; never; ex-|Buddhist priest|1057
儀|739|ceremony, rule, affair, case, a matter|739|ギ||15|人: person<br>義: righteousness; justice; morality; honor; loyalty; meaning|ceremony|1059
億|716|hundred million, 10**8|716|オク||15|人: person<br>意: idea; mind; heart; taste; thought; desire; care; liking|hundred million|1058
儒|2138|Confucian|2162|ジュ||16|人: person<br>需: demand; request; need|Confucian|1250
償|854|reparation, make up for, recompense, redeem|854|ショウ|つぐな.う|17|人: person<br>賞: prize; reward; praise|reparation|1060
優|334|tenderness, excel, surpass, actor, superiority, gentleness|334|ユウ、ウ|やさ.しい、すぐ.れる、まさ.る|17|人: person<br>憂: melancholy; grieve; lament; be anxious; sad; unhappy|tenderness|1068
儲|2358|be profitable, yield profit|2442|チョ|もう.ける、もう.かる、もうけ、たくわ.える|17|人: person<br>諸: various; many; several; together|make a profit|2252
允|2299|license, sincerity, permit|2358|イン|じょう、まこと.に、ゆるす|4|厶: I; myself; katakana mu radical (no. 28)<br>儿: legs radical (no. 10)|license|827
元|192|beginning, former time, origin|192|ゲン、ガン|もと|4|二: two; two radical (no.2)<br>八: eight; eight radical (no. 12)|beginning|63
兄|1219|elder brother, big brother|1219|ケイ、キョウ|あに|5|口: mouth<br>八: eight; eight radical (no. 12)|elder brother|107
充|949|allot, fill|949|ジュウ|あ.てる、み.たす|6|亠: kettle lid radical (no. 8)<br>允: license; sincerity; permit|allot|823
兆|1174|portent, 10**12, trillion, sign, omen, symptoms|1174|チョウ|きざ.す、きざ.し|6|八: eight; eight radical (no. 12)|portent|250
兇|2426|wickedness|9999|キョウ|おそ.れる、わる.い|6|凶: villain; evil; bad luck; disaster<br>儿: legs radical (no. 10)|evil|2869
先|173|before, ahead, previous, future, precedence|173|セン|さき、ま.ず|6|八: eight; eight radical (no. 12)|before|263
光|527|ray, light|527|コウ|ひか.る、ひかり|6|小: little; small<br>兀: high & level; lofty; bald; dangerous|ray|125
克|1332|overcome, kindly, skillfully|1333|コク|か.つ|7|古: old<br>兄: elder brother; big brother|overcome|109
免|1080|excuse, dismissal|1080|メン|まぬか.れる、まぬが.れる|8|勹: wrapping enclosure; wrapping radical (no. 20)<br>八: eight; eight radical (no. 12)|excuse|2126
兎|2427|rabbit, hare|9999|ト、ツ|うさぎ|8|丿: katakana no radical (no. 4)<br>儿: legs radical (no. 10)<br>丶: dot; tick or dot radical (no. 3)|rabbit|2235
児|679|newborn babe, child, young of animals|679|ジ、ニ、ゲイ|こ、-こ、-っこ|7|旧: old times; old things; old friend; former; ex-<br>八: eight; eight radical (no. 12)|newborn babe|62
党|39|party, faction, clique|39|トウ|なかま、むら|10|尚: esteem; furthermore; still; yet<br>兄: elder brother; big brother|party|860
兜|2016|helmet, head piece|2034|トウ、ト|かぶと|11|白: white<br>儿: legs radical (no. 10)|helmet|2870
入|56|enter, insert|56|ニュウ、ジュ|い.る、-い.る、-い.り、い.れる、-い.れ、はい.る|2|入: enter, enter radical (no. 11)|enter|842
